src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 19:56:44,93.51770114898682,82.925477259596,0.4811923245237678,0.4811923245237678,0.0,45,0,7755,0,435,100,172.33333333333334,94.15920324405657,0,0,0,0.0,435,100,172.33333333333334,94.15920324405657,8865.955555555553,900,0,20,45,2.1254022988406094,16.033802032470703,0.0,4.493608003461175,93.51770114898682,16.033802032470703,0.0,2.1254022988406094,4.493608003461175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,172.33333333333334,0,0,0,0,0,0,0,0,0,0,797.3333333333334,6.0,0,0,2071.742622387691,0,172.33333333333334,0,0,45,0,7755,0
192.168.1.7,255.255.255.255,41666,9999,17,2025-10-13 19:57:01,100.14655900001526,4.9926827740524145,0.04992682774052415,0.04992682774052415,0.0,5,0,500,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,100,0,20,5,25.036639750003815,50.077860832214355,0.0,17.70552891867408,100.14655900001526,50.077860832214355,0.0,25.036639750003815,17.70552891867408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,5,0,500,0
192.168.1.8,224.0.0.251,5353,5353,17,2025-10-13 19:56:42,129.8609848022461,10.01070492403593,0.05390379574480885,0.05390379574480885,0.0,7,0,1300,0,211,152,185.71428571428572,29.197427899018216,0,0,0,0.0,211,152,185.71428571428572,29.197427899018216,852.4897959183673,140,0,20,7,21.643497467041016,100.02759385108948,0.0,35.791481723141786,129.8609848022461,100.02759385108948,0.0,21.643497467041016,35.791481723141786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,185.71428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.71428571428572,0,0,7,0,1300,0
192.168.1.7,255.255.255.255,56700,56700,17,2025-10-13 19:57:06,118.88180613517761,2.624455416207526,0.0336468643103529,0.0336468643103529,0.0,4,0,312,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,80,0,20,4,39.62726871172587,59.90409708023071,0.0,28.023262573046267,118.88180613517761,59.90409708023071,0.0,39.62726871172587,28.023262573046267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,4,0,312,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 19:58:29,101.02727699279785,61.57742923669505,0.42562762532999315,0.42562762532999315,0.0,43,0,6221,0,435,88,144.67441860465115,46.83703609584379,0,0,0,0.0,435,88,144.67441860465115,46.83703609584379,2193.7079502433744,860,0,20,43,2.4054113569713773,16.389001846313477,0.0,4.769273224686976,101.02727699279785,16.389001846313477,0.0,2.4054113569713773,4.769273224686976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,144.67441860465115,0,0,0,0,0,0,0,0,0,0,484.0,5.0,0,0,526.5161068358883,0,144.67441860465115,0,0,43,0,6221,0
192.168.1.7,255.255.255.255,41666,9999,17,2025-10-13 19:59:06,100.14828610420227,5.991116007474278,0.05991116007474278,0.05991116007474278,0.0,6,0,600,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,120,0,20,6,20.029657220840456,25.192365884780884,0.0,10.01577924472322,100.14828610420227,25.192365884780884,0.0,20.029657220840456,10.01577924472322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,6,0,600,0
192.168.1.7,239.255.255.250,45185,1900,17,2025-10-13 19:57:42,0.008372068405151367,309003.6864018226,1075.0031610422895,1075.0031610422895,0.0,9,0,2587,0,307,269,287.44444444444446,16.93196261585441,0,0,0,0.0,307,269,287.44444444444446,16.93196261585441,286.69135802469134,180,0,20,9,0.001046508550643921,0.003406047821044922,0.0,0.0012534419684372042,0.008372068405151367,0.003406047821044922,0.0,0.001046508550643921,0.0012534419684372042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,287.44444444444446,0,0,0,0,0,0,0,0,0,0,1982.0,8.0,0,0,236739.58502064645,0,287.44444444444446,0,0,9,0,2587,0
192.168.1.7,224.0.0.251,5353,5353,17,2025-10-13 20:00:11,98.47483587265015,56.674377271544515,0.38588538547190315,0.38588538547190315,0.0,38,0,5581,0,435,132,146.8684210526316,48.831704030880964,0,0,0,0.0,435,132,146.8684210526316,48.831704030880964,2384.535318559556,760,0,20,38,2.661482050612166,16.329648971557617,0.0,5.243022972682992,98.47483587265015,16.329648971557617,0.0,2.661482050612166,5.243022972682992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,146.8684210526316,0,0,0,0,0,0,0,0,0,0,599.0,5.4,0,0,682.8657972634576,0,146.8684210526316,0,0,38,0,5581,0
192.168.1.7,255.255.255.255,56700,56700,17,2025-10-13 20:00:05,119.8082869052887,2.6041604304604022,0.03338667218538977,0.03338667218538977,0.0,4,0,312,0,78,78,78.0,0.0,0,0,0,0.0,78,78,78.0,0.0,0.0,80,0,20,4,39.93609563509623,59.90419602394104,0.0,28.23908403772365,119.8082869052887,59.90419602394104,0.0,39.93609563509623,28.23908403772365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,0,0,4,0,312,0
192.168.1.7,255.255.255.255,41666,9999,17,2025-10-13 20:01:11,100.14754796028137,5.991160165378793,0.059911601653787935,0.059911601653787935,0.0,6,0,600,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,120,0,20,6,20.029509592056275,25.190675973892212,0.0,10.015697908629315,100.14754796028137,25.190675973892212,0.0,20.029509592056275,10.015697908629315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,6,0,600,0
